key_type,key,management_style,management_confidence,evidence,source_url,review_note
ticker,AAAU,static_exposure_or_trust,high,SEC annual report states the trust is not managed like an active investment vehicle and holds physical gold,https://www.sec.gov/Archives/edgar/data/1708646/000119312526067559/d56933d10k.htm,
ticker,ABFL,systematic_or_rules_based,high,Issuer describes the FCF Leaders strategy and its quantitative free-cash-flow model,https://abacusfcf.com/abfl/,
ticker,ABLD,index_passive_identified,high,Issuer classifies the product in its index ETF range,https://abacusfcf.com/strategies/,
ticker,ABLG,active_identified,high,Issuer classifies the product in its active ETF range,https://abacusfcf.com/strategies/,
ticker,ABOT,index_passive_identified,high,Issuer classifies the product in its index ETF range,https://abacusfcf.com/strategies/,
ticker,ABXB,index_passive_identified,high,Cboe listing states that the fund seeks to track its designated bond index,https://www.cboe.com/us/equities/listings/listed_products/symbols/ABXB/,
ticker,ACLC,active_identified,high,Issuer product page identifies the ETF as actively managed,https://www.americancentury.com/invest/funds/american-century-large-cap-equity-etf/,
ticker,ACSI,index_passive_identified,high,Issuer states that the ETF seeks to track the American Customer Satisfaction Investable Index,https://www.acsietf.com/,N-CEN bulk rows for this series omit the ETF and index boolean fields; issuer evidence controls.
ticker,ATMP,not_applicable_security,high,SEC pricing supplement identifies an unsecured index-linked exchange-traded note rather than a managed portfolio,https://www.sec.gov/Archives/edgar/data/312070/000110465917054938/a17-21109_39424b2.htm,Debt instrument: management-style taxonomy is not applicable.
ticker,BAR,static_exposure_or_trust,high,Issuer trust documentation identifies physical allocated gold exposure,https://graniteshares.com/document-search/?product=BAR,
ticker,BDRY,systematic_or_rules_based,high,SEC report describes a commodity-pool portfolio implemented through dry-bulk freight futures,https://www.sec.gov/Archives/edgar/data/1610940/000121390026057535/ea0289571-10q_amplify.htm,
ticker,BITS,active_identified,high,Issuer explicitly describes the fund as actively managed and investing in bitcoin futures and blockchain equities,https://www.globalxetfs.com/funds/bits,N-CEN bulk rows for this series omit the ETF and index boolean fields; issuer evidence controls.
ticker,BNO,systematic_or_rules_based,high,Issuer describes rules-governed benchmark exposure through Brent crude oil futures,https://www.uscfinvestments.com/bno,
ticker,CANE,systematic_or_rules_based,high,Issuer describes benchmark commodity exposure implemented through sugar futures,https://teucrium.com/cane,
ticker,CEF,static_exposure_or_trust,high,Issuer lists the closed-end trust among its fully allocated physical bullion trusts,https://sprott.com/investment-strategies/exchange-listed-products/,
ticker,CORN,systematic_or_rules_based,high,Issuer describes benchmark commodity exposure implemented through corn futures,https://teucrium.com/corn,
ticker,CWC,active_identified,high,SEC registration statement describes the fund as actively managed,https://www.sec.gov/Archives/edgar/data/1587551/000158064221004736/clockwise-capitaletf_485a.htm,
ticker,DBA,index_passive_identified,high,Issuer classifies the DB commodity funds as passive index-based exchange-traded products,https://www.invesco.com/us/en/solutions/invesco-etfs/commodity-investing.html,
ticker,DBB,index_passive_identified,high,Issuer classifies the DB commodity funds as passive index-based exchange-traded products,https://www.invesco.com/us/en/solutions/invesco-etfs/commodity-investing.html,
ticker,DBE,index_passive_identified,high,Issuer classifies the DB commodity funds as passive index-based exchange-traded products,https://www.invesco.com/us/en/solutions/invesco-etfs/commodity-investing.html,
ticker,DBO,index_passive_identified,high,Issuer classifies the DB commodity funds as passive index-based exchange-traded products,https://www.invesco.com/us/en/solutions/invesco-etfs/commodity-investing.html,
ticker,DBP,index_passive_identified,high,Issuer classifies the DB commodity funds as passive index-based exchange-traded products,https://www.invesco.com/us/en/solutions/invesco-etfs/commodity-investing.html,
ticker,DDX,systematic_or_rules_based,high,Issuer describes a rules-based duration-management process,https://disciplinefunds.com/ddx/,
ticker,DEF,index_passive_identified,high,SEC filing states that the fund seeks to track the Invesco Defensive Equity Index,https://www.sec.gov/Archives/edgar/data/1657201/000110465922127366/R206.htm,
ticker,FNGS,not_applicable_security,high,Issuer describes an unsecured exchange-traded note linked to the NYSE FANG+ Index,https://microsectors.com/fang/,Debt instrument: management-style taxonomy is not applicable.
ticker,FXA,static_exposure_or_trust,high,Issuer CurrencyShares documentation describes a grantor trust holding the referenced currency,https://www.invesco.com/us/en/financial-products/etfs/invesco-currencyshares-australian-dollar-trust.html,
ticker,FXB,static_exposure_or_trust,high,Issuer CurrencyShares documentation describes a grantor trust holding the referenced currency,https://www.invesco.com/us/en/financial-products/etfs/invesco-currencyshares-british-pound-sterling-trust.html,
ticker,FXC,static_exposure_or_trust,high,Issuer CurrencyShares documentation describes a grantor trust holding the referenced currency,https://www.invesco.com/us/en/financial-products/etfs/invesco-currencyshares-canadian-dollar-trust.html,
