request_symbol,name,previous_management_style,management_evidence_version,matched_catalog_series_ids,management_style,management_confidence,management_source,evidence,source_url,source_zip,ncen_accession_number,ncen_series_id,ncen_fund_name,ncen_is_etf,ncen_is_index,ncen_match_route,identity_name_similarity,review_note,changed_from_previous
AAA,Alternative Access First Priority CLO Bond ETF,not_determined,management_style_evidence_1.1,S000076539,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1587982/000119312526268843/0001193125-26-268843-index.html,2026q2_ncen.zip,0001193125-26-268843,S000076539,Alternative Access First Priority CLO Bond ETF,Y,,series_id,1.0,,True
AAAU,Goldman Sachs Physical Gold ETF Shares,not_determined,management_style_evidence_1.1,,static_exposure_or_trust,high,primary_source_override,SEC annual report states the trust is not managed like an active investment vehicle and holds physical gold,https://www.sec.gov/Archives/edgar/data/1708646/000119312526067559/d56933d10k.htm,,,,,,,manual_ticker_override,,,True
AADR,AdvisorShares Dorsey Wright ADR ETF,active_identified,management_style_evidence_1.1,,active_identified,high,primary_source_override,Issuer includes AADR in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,,,,,,,manual_ticker_override,,,False
AAVM,Alpha Architect Global Factor Equity ETF,systematic_or_rules_based,management_style_evidence_1.1,,active_identified,high,primary_source_override,Issuer identifies an active approach with portfolio rebalancing to maintain factor exposure,https://funds.alphaarchitect.com/aavm/,,,,,,,manual_ticker_override,,,True
AAXJ,iShares MSCI All Country Asia ex Japan ETF,index_passive_identified,management_style_evidence_1.1,S000022496,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000022496,iShares MSCI All Country Asia ex Japan ETF,Y,Y,series_id,1.0,,False
ABEQ,Absolute Select Value ETF,systematic_or_rules_based,management_style_evidence_1.1,S000067086,active_identified,high,primary_source_override,Issuer describes ABEQ as an actively managed value ETF,https://absoluteadvisers.com/funds/,,,,,,,manual_ticker_override,,,True
ABFL,Abacus FCF Leaders ETF,not_determined,management_style_evidence_1.1,,systematic_or_rules_based,high,primary_source_override,Issuer describes the FCF Leaders strategy and its quantitative free-cash-flow model,https://abacusfcf.com/abfl/,,,,,,,manual_ticker_override,,,True
ABLD,Abacus FCF Real Assets Leaders ETF,not_determined,management_style_evidence_1.1,,index_passive_identified,high,primary_source_override,Issuer classifies the product in its index ETF range,https://abacusfcf.com/strategies/,,,,,,,manual_ticker_override,,,True
ABLG,Abacus FCF International Leaders ETF,not_determined,management_style_evidence_1.1,,active_identified,high,primary_source_override,Issuer classifies the product in its active ETF range,https://abacusfcf.com/strategies/,,,,,,,manual_ticker_override,,,True
ABOT,Abacus FCF Innovation Leaders ETF,not_determined,management_style_evidence_1.1,,index_passive_identified,high,primary_source_override,Issuer classifies the product in its index ETF range,https://abacusfcf.com/strategies/,,,,,,,manual_ticker_override,,,True
ABXB,Abacus Flexible Bond Leaders ETF,not_determined,management_style_evidence_1.1,,index_passive_identified,high,primary_source_override,Cboe listing states that the fund seeks to track its designated bond index,https://www.cboe.com/us/equities/listings/listed_products/symbols/ABXB/,,,,,,,manual_ticker_override,,,True
ACES,ALPS Clean Energy ETF,not_determined,management_style_evidence_1.1,S000062205,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1414040/000104916926000159/0001049169-26-000159-index.html,2026q1_ncen.zip,0001049169-26-000159,S000062205,ALPS Clean Energy ETF,Y,Y,series_id,1.0,,True
ACGR,American Century Large Cap Growth ETF,systematic_or_rules_based,management_style_evidence_1.1,,active_identified,high,primary_source_override,Issuer states that the ETF is actively managed and does not seek to replicate a specified index,https://www.americancentury.com/invest/funds/american-century-large-cap-growth-etf/,,,,,,,manual_ticker_override,,,True
ACIM,SPDR(R) MSCI ACWI IMI ETF,index_passive_identified,management_style_evidence_1.1,S000036082,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1168164/000141036825034454/0001410368-25-034454-index.html,2025q4_ncen.zip,0001410368-25-034454,S000036082,SPDR(R) Portfolio MSCI Global Stock Market ETF,Y,Y,series_id,0.5263157894736842,,False
ACLC,American Century Large Cap Equity ETF,not_determined,management_style_evidence_1.1,,active_identified,high,primary_source_override,Issuer product page identifies the ETF as actively managed,https://www.americancentury.com/invest/funds/american-century-large-cap-equity-etf/,,,,,,,manual_ticker_override,,,True
ACSI,American Customer Satisfaction ETF,not_determined,management_style_evidence_1.1,S000055313|S000071844,index_passive_identified,high,primary_source_override,Issuer states that the ETF seeks to track the American Customer Satisfaction Investable Index,https://www.acsietf.com/,,,,,,,manual_ticker_override,,N-CEN bulk rows for this series omit the ETF and index boolean fields; issuer evidence controls.,True
ACVF,American Conservative Values ETF,not_determined,management_style_evidence_1.1,S000066215,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1771146/000100472625001072/0001004726-25-001072-index.html,2025q4_ncen.zip,0001004726-25-001072,S000066215,American Conservative Values ETF,Y,,series_id,1.0,,True
ACWEF,SSgA SPDR ETFs Europe I Public Limited Company - SPDR MSCI ACWI UCITS ETF,index_passive_identified,management_style_evidence_1.1,,index_passive_identified,high,primary_source_override,Issuer fact sheet identifies the MSCI ACWI benchmark and an index-tracking UCITS fund,https://www.ssga.com/library-content/products/factsheets/etfs/emea/factsheet-emea-en_gb-spyy-gy.pdf,,,,,,,manual_ticker_override,,Foreign OTC ticker for a UCITS share class; management classification follows the legal fund.,False
ACWF,iShares Edge MSCI Multifactor Global ETF,systematic_or_rules_based,management_style_evidence_1.1,S000048622,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000048622,iShares Global Equity Factor ETF,Y,Y,series_id,0.39215686274509803,,True
ACWI,iShares MSCI ACWI ETF,index_passive_identified,management_style_evidence_1.1,S000021461,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000021461,iShares MSCI ACWI ETF,Y,Y,series_id,1.0,,False
ACWV,iShares MSCI Global Min Vol Factor ETF,systematic_or_rules_based,management_style_evidence_1.1,S000032498,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/930667/000141036825023226/0001410368-25-023226-index.html,2025q4_ncen.zip,0001410368-25-023226,S000032498,iShares MSCI Global Min Vol Factor ETF,Y,Y,series_id,1.0,,True
